[ 2012-08-22T10:18:25+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-22T10:18:25+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.024355s ]
[ 2012-08-22T10:18:25+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.044059s ]
[ 2012-08-22T10:18:26+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Tag[ view_template ] --START--
[ 2012-08-22T10:18:26+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Run LocationTemplate Behavior [ RunTime:0.044801s ]
[ 2012-08-22T10:18:26+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.044999s ]
[ 2012-08-22T10:18:26+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-22T10:18:26+08:00 ] /dwz_thinkphp3/Admin/ | NOTIC: [8] Undefined variable: menu f12c0a77906a0f355c95666536d66c0f.php 第 128 行.
[ 2012-08-22T10:18:26+08:00 ] /dwz_thinkphp3/Admin/ | NOTIC: [8] Undefined index: loginUserName f12c0a77906a0f355c95666536d66c0f.php 第 198 行.
[ 2012-08-22T10:18:26+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Run ParseTemplate Behavior [ RunTime:0.101588s ]
[ 2012-08-22T10:18:26+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.101760s ]
[ 2012-08-22T10:18:26+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Tag[ view_filter ] --START--
[ 2012-08-22T10:18:26+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Run ContentReplace Behavior [ RunTime:0.010212s ]
[ 2012-08-22T10:18:26+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Run TokenBuild Behavior [ RunTime:0.009998s ]
[ 2012-08-22T10:18:26+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.008191s ]
[ 2012-08-22T10:18:26+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Run ShowRuntime Behavior [ RunTime:0.002602s ]
[ 2012-08-22T10:18:26+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.031588s ]
[ 2012-08-22T10:18:26+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Tag[ view_end ] --START--
[ 2012-08-22T10:18:26+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.027617s ]
[ 2012-08-22T10:18:26+08:00 ] /dwz_thinkphp3/Admin/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.027833s ]
[ 2012-08-22T10:18:27+08:00 ] /dwz_thinkphp3/Admin/js/dwz.regional.zh.js | ERR: (ThinkException) 无法加载模块js
[ 2012-08-22T10:25:50+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/insert_info?_=1345602350427 | INFO: Tag[ route_check ] --START--
[ 2012-08-22T10:25:50+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/insert_info?_=1345602350427 | INFO: Run CheckRoute Behavior [ RunTime:0.002409s ]
[ 2012-08-22T10:25:50+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/insert_info?_=1345602350427 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002647s ]
[ 2012-08-22T10:25:50+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/insert_info?_=1345602350427 | INFO: Tag[ app_begin ] --START--
[ 2012-08-22T10:25:50+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/insert_info?_=1345602350427 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.015250s ]
[ 2012-08-22T10:25:50+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/insert_info?_=1345602350427 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.015435s ]
[ 2012-08-22T10:25:50+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/insert_info?_=1345602350427 | INFO: Tag[ view_template ] --START--
[ 2012-08-22T10:25:50+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/insert_info?_=1345602350427 | INFO: Run LocationTemplate Behavior [ RunTime:0.012893s ]
[ 2012-08-22T10:25:50+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/insert_info?_=1345602350427 | INFO: Tag[ view_template ] --END-- [ RunTime:0.013116s ]
[ 2012-08-22T10:25:50+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/insert_info?_=1345602350427 | INFO: Tag[ view_parse ] --START--
[ 2012-08-22T10:25:50+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/insert_info?_=1345602350427 | INFO: Run ParseTemplate Behavior [ RunTime:0.033448s ]
[ 2012-08-22T10:25:50+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/insert_info?_=1345602350427 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.033707s ]
[ 2012-08-22T10:25:50+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/insert_info?_=1345602350427 | INFO: Tag[ view_filter ] --START--
[ 2012-08-22T10:25:50+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/insert_info?_=1345602350427 | INFO: Run ContentReplace Behavior [ RunTime:0.018131s ]
[ 2012-08-22T10:25:50+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/insert_info?_=1345602350427 | INFO: Run TokenBuild Behavior [ RunTime:0.010464s ]
[ 2012-08-22T10:25:50+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/insert_info?_=1345602350427 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.007646s ]
[ 2012-08-22T10:25:50+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/insert_info?_=1345602350427 | INFO: Run ShowRuntime Behavior [ RunTime:0.001691s ]
[ 2012-08-22T10:25:50+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/insert_info?_=1345602350427 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.038497s ]
[ 2012-08-22T10:25:50+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/insert_info?_=1345602350427 | INFO: Tag[ view_end ] --START--
[ 2012-08-22T10:25:50+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/insert_info?_=1345602350427 | INFO: Run ShowPageTrace Behavior [ RunTime:0.005313s ]
[ 2012-08-22T10:25:50+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/insert_info?_=1345602350427 | INFO: Tag[ view_end ] --END-- [ RunTime:0.005534s ]
[ 2012-08-22T10:26:05+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/db_lookupSuggest | INFO: Tag[ route_check ] --START--
[ 2012-08-22T10:26:05+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/db_lookupSuggest | INFO: Run CheckRoute Behavior [ RunTime:0.000963s ]
[ 2012-08-22T10:26:05+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/db_lookupSuggest | INFO: Tag[ route_check ] --END-- [ RunTime:0.001145s ]
[ 2012-08-22T10:26:05+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/db_lookupSuggest | INFO: Tag[ app_begin ] --START--
[ 2012-08-22T10:26:05+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/db_lookupSuggest | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000734s ]
[ 2012-08-22T10:26:05+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/db_lookupSuggest | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000901s ]
[ 2012-08-22T10:26:05+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/db_lookupSuggest | INFO: Tag[ view_template ] --START--
[ 2012-08-22T10:26:05+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/db_lookupSuggest | INFO: Run LocationTemplate Behavior [ RunTime:0.000496s ]
[ 2012-08-22T10:26:05+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/db_lookupSuggest | INFO: Tag[ view_template ] --END-- [ RunTime:0.000685s ]
[ 2012-08-22T10:26:05+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/db_lookupSuggest | INFO: Tag[ view_parse ] --START--
[ 2012-08-22T10:26:05+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/db_lookupSuggest | INFO: Run ParseTemplate Behavior [ RunTime:0.034726s ]
[ 2012-08-22T10:26:05+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/db_lookupSuggest | INFO: Tag[ view_parse ] --END-- [ RunTime:0.034925s ]
[ 2012-08-22T10:26:05+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/db_lookupSuggest | INFO: Tag[ view_filter ] --START--
[ 2012-08-22T10:26:05+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/db_lookupSuggest | INFO: Run ContentReplace Behavior [ RunTime:0.000626s ]
[ 2012-08-22T10:26:05+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/db_lookupSuggest | INFO: Run TokenBuild Behavior [ RunTime:0.001680s ]
[ 2012-08-22T10:26:05+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/db_lookupSuggest | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000731s ]
[ 2012-08-22T10:26:05+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/db_lookupSuggest | INFO: Run ShowRuntime Behavior [ RunTime:0.001635s ]
[ 2012-08-22T10:26:05+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/db_lookupSuggest | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005347s ]
[ 2012-08-22T10:26:05+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/db_lookupSuggest | INFO: Tag[ view_end ] --START--
[ 2012-08-22T10:26:05+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/db_lookupSuggest | INFO: Run ShowPageTrace Behavior [ RunTime:0.002118s ]
[ 2012-08-22T10:26:05+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/db_lookupSuggest | INFO: Tag[ view_end ] --END-- [ RunTime:0.002349s ]
[ 2012-08-22T10:26:05+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/db_lookupSuggest | INFO: Tag[ route_check ] --START--
[ 2012-08-22T10:26:05+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/db_lookupSuggest | INFO: Run CheckRoute Behavior [ RunTime:0.001167s ]
[ 2012-08-22T10:26:05+08:00 ] /dwz_thinkphp3/Admin/index.php/Chuanjiang/db_lookupSuggest | INFO: Tag[ route_check ] --END-- [ RunTime:0.001417s ]
